timestep,mean_fractional_change,median_fractional_change,p25_fractional_change,p75_fractional_change,iqr_fractional_change,n_files
3400,-0.02620574387519661,-0.0357142857142857,-0.07923076923076919,0.03703703703703698,0.11626780626780617,250
3450,-0.027799653102170356,-0.03703703703703709,-0.07999999999999996,0.03703703703703698,0.11703703703703694,250
3500,-0.029459943999012975,-0.03774928774928776,-0.07999999999999996,0.03703703703703698,0.11703703703703694,250
3550,-0.030148079898534078,-0.03774928774928776,-0.07999999999999996,0.03670634920634919,0.11670634920634915,250
3600,-0.03160033464814177,-0.038461538461538436,-0.08333333333333337,0.03571428571428581,0.11904761904761918,250
3650,-0.03298204464875643,-0.038461538461538436,-0.08333333333333337,0.03306451612903233,0.1163978494623657,250
3700,-0.034098564051392784,-0.039230769230769236,-0.08333333333333337,0.0,0.08333333333333337,250
3750,-0.035085570378399114,-0.040000000000000036,-0.08333333333333337,0.0,0.08333333333333337,250
3800,-0.036243142773699694,-0.040000000000000036,-0.08511904761904765,0.0,0.08511904761904765,250
3850,-0.03690086534098748,-0.040000000000000036,-0.08511904761904765,0.0,0.08511904761904765,250
3900,-0.03745993422908863,-0.04166666666666663,-0.0866459627329193,0.0,0.0866459627329193,250
3950,-0.03857184261056223,-0.04166666666666663,-0.08695652173913049,0.0,0.08695652173913049,250
4000,-0.03945306030591036,-0.04166666666666663,-0.08791560102301793,0.0,0.08791560102301793,250
4050,-0.040207485060335106,-0.04166666666666663,-0.08791560102301793,0.0,0.08791560102301793,250
4100,-0.04167839470624476,-0.04257246376811591,-0.09090909090909094,0.0,0.09090909090909094,250
4150,-0.04270958964700492,-0.04347826086956519,-0.09486607142857142,0.0,0.09486607142857142,250
4200,-0.0589178875629971,-0.06559139784946239,-0.11510989010989015,0.0,0.11510989010989015,250
4250,-0.06059803397043692,-0.06559139784946239,-0.11538461538461542,0.0,0.11538461538461542,250
4300,-0.06087422444662739,-0.06666666666666665,-0.11538461538461542,0.0,0.11538461538461542,250
4350,-0.061817378766596605,-0.067816091954023,-0.11538461538461542,0.0,0.11538461538461542,250
