timestep,mean_fractional_change,median_fractional_change,lower_bound_p25,upper_bound_p75,mean_cells,median_cells,n_files
5050,-0.23823422794108692,-0.23431372549019608,-0.31999999999999995,-0.15384615384615385,19.832,20.0,250
5100,-0.23928008903651324,-0.23529411764705888,-0.31999999999999995,-0.15384615384615385,19.804,20.0,250
5150,-0.23990798640096234,-0.2366946778711485,-0.3232432432432433,-0.15384615384615385,19.788,20.0,250
5200,-0.24092578711531476,-0.2366946778711485,-0.33,-0.1553846153846154,19.76,20.0,250
5250,-0.241603263604343,-0.23809523809523814,-0.33,-0.1553846153846154,19.74,20.0,250
5300,-0.24256895383615018,-0.23904761904761906,-0.33,-0.1553846153846154,19.716,19.0,250
5350,-0.2429985834657798,-0.24,-0.33333333333333337,-0.1603225806451613,19.704,19.0,250
5400,-0.24443853121529274,-0.24,-0.33333333333333337,-0.1626344086021505,19.668,19.0,250
5450,-0.24507926244058922,-0.24,-0.33333333333333337,-0.1626344086021505,19.652,19.0,250
5500,-0.2461071598050383,-0.24,-0.33333333333333337,-0.1626344086021505,19.624,19.0,250
5550,-0.24747424493824036,-0.2406896551724138,-0.33333333333333337,-0.16666666666666663,19.588,19.0,250
5600,-0.24882012127426592,-0.2406896551724138,-0.33333333333333337,-0.16666666666666663,19.552,19.0,250
5650,-0.24991631471045933,-0.24137931034482762,-0.33333333333333337,-0.16666666666666663,19.524,19.0,250
5700,-0.2505122544029508,-0.24137931034482762,-0.33333333333333337,-0.16666666666666663,19.508,19.0,250
5750,-0.2520546432299048,-0.25,-0.33333333333333337,-0.16666666666666663,19.468,19.0,250
5800,-0.2529465425183558,-0.25,-0.33333333333333337,-0.16666666666666663,19.444,19.0,250
5850,-0.25339709196890525,-0.25,-0.33333333333333337,-0.1684782608695652,19.432,19.0,250
5900,-0.2544361608570064,-0.25,-0.33333333333333337,-0.1750776397515528,19.404,19.0,250
5950,-0.2555757092715548,-0.2540322580645161,-0.33333333333333337,-0.1785714285714286,19.372,19.0,250
6000,-0.2571590120581853,-0.2586618876941458,-0.33333333333333337,-0.1785714285714286,19.332,19.0,250
6050,-0.258219906055631,-0.2586618876941458,-0.3443349753694581,-0.1785714285714286,19.304,19.0,250
6100,-0.25954159491038437,-0.2586618876941458,-0.3474080267558528,-0.1793831168831169,19.268,19.0,250
6150,-0.260160359398714,-0.2586618876941458,-0.3474080267558528,-0.18181818181818177,19.252,19.0,250
6200,-0.2606199867279066,-0.2586618876941458,-0.34782608695652173,-0.18181818181818177,19.24,19.0,250
6250,-0.2611443131036182,-0.2586618876941458,-0.3504700352526439,-0.18181818181818177,19.228,19.0,250
6300,-0.2626494068884859,-0.26086956521739135,-0.3504700352526439,-0.18518518518518523,19.188,19.0,250
6350,-0.26341929855492935,-0.26086956521739135,-0.35396687009590233,-0.18518518518518523,19.168,19.0,250
6400,-0.2638634823281454,-0.26278772378516624,-0.35396687009590233,-0.18518518518518523,19.156,19.0,250
6450,-0.2648146114888397,-0.26278772378516624,-0.35396687009590233,-0.18576388888888892,19.132,19.0,250
6500,-0.2662905421163221,-0.2692307692307693,-0.3548387096774194,-0.18576388888888892,19.092,19.0,250
6550,-0.26689339925917926,-0.2692307692307693,-0.3548387096774194,-0.18576388888888892,19.076,19.0,250
6600,-0.2681950046103498,-0.2692307692307693,-0.35656682027649766,-0.18576388888888892,19.044,19.0,250
6650,-0.2688246165785592,-0.2692307692307693,-0.35656682027649766,-0.18576388888888892,19.028,19.0,250
6700,-0.27074961908812695,-0.2727272727272727,-0.35928571428571426,-0.19093406593406592,18.98,19.0,250
6750,-0.2910698907844683,-0.2857142857142857,-0.3679824561403509,-0.21875,18.436,18.0,250
6800,-0.2918413385959161,-0.2857142857142857,-0.3698830409356725,-0.21875,18.416,18.0,250
6850,-0.3218082935318535,-0.3190909090909091,-0.4,-0.24,17.62,17.5,250
6900,-0.3228397120810002,-0.31999999999999995,-0.4,-0.24,17.592,17.5,250
6950,-0.3229730454143335,-0.31999999999999995,-0.4,-0.24,17.588,17.5,250
7000,-0.323460224901513,-0.31999999999999995,-0.4,-0.24,17.576,17.5,250
7050,-0.32424436546683,-0.31999999999999995,-0.4,-0.24,17.556,17.0,250
7100,-0.32456904079150534,-0.31999999999999995,-0.4,-0.24,17.548,17.0,250
7150,-0.3254938922363568,-0.31999999999999995,-0.40555555555555556,-0.24,17.524,17.0,250
7200,-0.3260997123421769,-0.31999999999999995,-0.40740740740740744,-0.24,17.508,17.0,250
7250,-0.3270562317448132,-0.31999999999999995,-0.4137931034482759,-0.24,17.484,17.0,250
7300,-0.3270562317448132,-0.31999999999999995,-0.4137931034482759,-0.24,17.484,17.0,250
7350,-0.3281223885509701,-0.3214285714285714,-0.4137931034482759,-0.24,17.456,17.0,250
7400,-0.3285870851446989,-0.3214285714285714,-0.4137931034482759,-0.24,17.444,17.0,250
7450,-0.32947549303310675,-0.3273809523809524,-0.41594827586206895,-0.2406060606060606,17.42,17.0,250
7500,-0.3297612073188211,-0.3273809523809524,-0.41594827586206895,-0.24431818181818182,17.412,17.0,250
